Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
28/01/2020,7,0,0,5,2,4,10,8,0,20,Macedonian
29/01/2020,9,0,3,10,10,4,5,3,0,34,Macedonian
30/01/2020,18,0,2,2,9,0,10,6,0,16,Macedonian
31/01/2020,3,0,1,9,6,3,4,0,0,11,Macedonian
1/2/2020,2,0,3,6,3,1,3,4,0,2,Macedonian
2/2/2020,6,0,0,10,4,1,13,6,0,6,Macedonian
3/2/2020,2,0,1,19,4,4,12,7,0,14,Macedonian
4/2/2020,9,0,2,3,10,3,10,5,0,10,Macedonian
5/2/2020,10,1,1,18,8,6,13,2,0,7,Macedonian
6/2/2020,12,0,2,9,11,7,10,9,0,8,Macedonian
7/2/2020,3,1,0,11,2,3,6,1,0,9,Macedonian
8/2/2020,4,0,2,13,6,2,3,1,0,20,Macedonian
9/2/2020,9,0,1,9,4,5,6,1,0,16,Macedonian
10/2/2020,9,0,0,7,2,10,4,3,0,14,Macedonian
11/2/2020,11,0,2,20,8,4,13,10,0,9,Macedonian
12/2/2020,10,2,0,10,5,6,7,4,0,18,Macedonian
13/02/2020,3,0,0,7,6,0,9,0,0,12,Macedonian
14/02/2020,9,0,0,10,5,0,8,7,0,7,Macedonian
15/02/2020,0,1,0,9,1,2,9,1,0,6,Macedonian
16/02/2020,8,0,1,12,6,4,3,4,0,3,Macedonian
